group	whole_count	whole_all
Cytosolic arginine sensor for mTORC1 subunit 1 N-terminal domain	1	7270730
FlgA N-terminal domain	2	7270730
Gene product 70	1	7270730
Mucin-2 protein WxxW repeating region	3	7270730
Det1 complexing ubiquitin ligase	2	7270730
P53 tetramerisation motif	2	7270730
CLIP domain superfamily	1	7270730
VWA / Hh  protein intein-like	2	7270730
Interleukin-like EMT inducer	2	7270730
2-cysteine adaptor domain	1	7270730
Intraflagellar transport complex B	1	7270730
Carlavirus coat	1	7270730
Uncharacterized protein conserved in archaea (DUF2258)	1	7270730
Calcium binding protein SSO6904	1	7270730
GrpE	2	7270730
Uncharacterized protein conserved in archaea (DUF2175)	5	7270730
Chitin synthesis regulation	1	7270730
TolA binding protein trimerisation	1	7270730
Glutamate--tRNA ligase N-terminal domain	1	7270730
NOP protein chaperone 1	1	7270730
C-terminal domain of two-partite extracellular sensor domain	1	7270730
Remorin	1	7270730
Late endosomal/lysosomal adaptor and MAPK and MTOR activator	1	7270730
XIAP-associated factor 1 C-terminal domain	2	7270730
Frog antimicrobial peptide	1	7270730
The ARF-like 2 binding protein BART	1	7270730
RXLR phytopathogen effector protein WY-domain	1	7270730
SKG6 family	2	7270730
Hydrolethalus syndrome protein 1 C-terminus	1	7270730
Ku70/Ku80 C-terminal arm	1	7270730
ENTH/ANTH/VHS superfamily	1	7270730
Mad3/BUB1 homology region 2	1	7270730
Pre-rRNA-processing protein TSR2	2	7270730
Uncharacterized KleE stable inheritance protein	1	7270730
Sec1-binding region of Mso1	1	7270730
Ubiquitin-binding domain	3	7270730
PhTx neurotoxin family	1	7270730
E2F-associated phosphoprotein	1	7270730
Competence-damaged protein	1	7270730
SicP binding	1	7270730
PAZ domain superfamily	1	7270730
SEA domain	1	7270730
Uncharacterized conserved protein (DUF2267)	1	7270730
K+-transporting ATPase	1	7270730
Cytochrome C oxidase chain VIIB	1	7270730
LDH C-terminal domain-like superfamily	1	7270730
Methyl-coenzyme M reductase operon protein D	1	7270730
Prp31 C terminal domain	1	7270730
Programmed cell death protein 2	1	7270730
C-terminal domain of tail specific protease (DUF3340)	3	7270730
Maltokinase N-terminal cap domain	1	7270730
Spa2 homology domain (SHD) of GIT	2	7270730
Carbonic anhydrase	1	7270730
Epiplasmin protein	2	7270730
beta subunit of N-acylethanolamine-hydrolyzing acid amidase	1	7270730
Nup54 C-terminal interacting domain	2	7270730
Tim17/Tim22/Tim23/Pmp24 family	1	7270730
PFU (PLAA family ubiquitin binding)	1	7270730
Coiled-coil domain-containing protein 23	1	7270730
LNR domain	1	7270730
Putative transmembrane protein 170	1	7270730
Archaea-specific editing domain of threonyl-tRNA synthetase	1	7270730
60S ribosome biogenesis protein Rrp14	2	7270730
ATP12 chaperone protein	1	7270730
Pathogen effector; putative necrosis-inducing factor	1	7270730
Synapsin N-terminal	1	7270730
Gene product 79	1	7270730
Gas vesicles protein GVPc repeated domain	1	7270730
Eukaryotic translation initiation factor 4E binding protein (EIF4EBP)	1	7270730
Rad50 zinc hook motif	1	7270730
HPC2 and ubinuclein domain	1	7270730
Nuclear pore assembly and biogenesis	1	7270730
FBP C-terminal treble-clef zinc-finger	1	7270730
CheY-binding domain of CheA superfamily	1	7270730
Putative mitochondrial precursor protein	1	7270730
Terminase small subunit	1	7270730
Alpha-lytic protease prodomain	2	7270730
Ion transport protein N-terminal	1	7270730
